naam,volledige naam,partij,functie,db-uri,abstract
Madeleen Leyten-de Wijkerslooth de Weerdesteyn,Judith Juliëtte Madeleine Sophie Leyten-de Wijkerslooth de Weerdesteyn,Katholieke Volkspartij,Lid van de Raad van State;Lid van de Eerste Kamer der Staten-Generaal;Lid van de Provinciale Staten van Noord-Brabant,http://nl.dbpedia.org/resource/Madeleen_de_Wijkerslooth_de_Weerdesteyn,"Mr. Judith Juliëtte Madeleine Sophie (Madeleen) Leyten-de Wijkerslooth de Weerdesteyn (Zwolle, 29 september 1935) is een Nederlandse juriste, bestuurder en voormalig politica voor de Katholieke Volkspartij (KVP), tot 11 oktober 1980, en het Christen-Democratisch Appèl (CDA), vanaf 11 oktober 1980."
Marcel van Dam,Marcel Parcival Arthur van Dam,Katholieke Volkspartij,Lid Tweede Kamer;Staatssecretaris van Volkshuisvesting en Ruimtelijke Ordening;Minister van Volkshuisvesting en Ruimtelijke Ordening,http://nl.dbpedia.org/resource/Marcel_van_Dam,"Marcel Parcival Arthur van Dam (Utrecht, 30 januari 1938) is een Nederlands socioloog en politicus. Hij was staatssecretaris en minister van Volkshuisvesting, Kamerlid, voorzitter van de publieke omroep VARA en programmamaker voor die omroep."
Martin van Rooijen,Martinus Johannes  van Rooijen,Katholieke Volkspartij,Lid van de Tweede Kamer;Lid van de Eerste Kamer;Staatssecretaris voor Fiscale Zaken;Lid van de Tweede Kamer;Lid van de Eerste Kamer;Staatssecretaris voor Fiscale Zaken,http://nl.dbpedia.org/resource/Martin_van_Rooijen,"Martinus Johannes (Martin) van Rooijen (Drunen, 31 juli 1942) is een Nederlands politicus.Van Rooijen is een belastingspecialist, die in het najaar van 1973 Van der Stee opvolgde als staatssecretaris van Financiën (fiscale zaken) in het kabinet-Den Uyl. Hij was geen opvallende bewindsman. In 1977 kwam hij via een opvolgersplaats voor het CDA in de Tweede Kamer, maar stapte na drie jaar over naar het bedrijfsleven. Hij maakte later deel uit van het eerste College van Toezicht Sociale Verzekeringen, dat in 1996 voortijdig moest aftreden. Hij kreeg verder bekendheid als sportbestuurder, vooral als voorzitter van de KNVB-sectie betaald voetbal. Hij beoefende die sport overigens zelf lange tijd op amateurniveau.Bij de Eerste Kamerverkiezingen van 2015 werd Van Rooijen gekozen op de lijst van 50Plus."
Michel van Hulten,Michael Henricus Maria  van Hulten,Katholieke Volkspartij,Lid Tweede Kamer;Lid Eerste Kamer;Staatssecretaris van V&W,http://nl.dbpedia.org/resource/Michel_van_Hulten,"Michael Henricus Maria (Michel) van Hulten (Batavia (Nederlands-Indië), 9 maart 1930) is een Nederlands voormalig politicus. Namens de Politieke Partij Radikalen (PPR) was hij lid van de Eerste en Tweede Kamer, en staatssecretaris van Verkeer en Waterstaat in het kabinet-Den Uyl."
Pam Cornelissen,Peter Antonius Maria Cornelissen,Katholieke Volkspartij,Lid Tweede Kamer der Staten-Generaal;Lid Europees Parlement;Gemeenteraadslid in Best;Lid agglomeratieraad van Eindhoven,http://nl.dbpedia.org/resource/Pam_Cornelissen,"Peter Antonius Maria Cornelissen (Langeweg, 13 januari 1934) is een Nederlands voormalig politicus namens het CDA.Cornelissen groeide op in Noord-Brabant als zoon van een landbouwer, en volgde, na het gymnasium te hebben voltooid, in de jaren vijftig de academische studie weg- en waterbouwkunde op de Technische Hogeschool te Delft. Na deze studie werkte hij onder andere als ingenieur te Nigeria.In 1966 ging hij de politiek in, en werd lid van de gemeenteraad van Best en de agglomeratieraad van Eindhoven, namens de KVP. Zijn lidmaatschap van de agglomeratieraad behield hij tot 1970, dat van de gemeenteraad tot 1974.In 1967 werd hij lid van de Tweede Kamer, waar hij voor zijn partij woordvoerder volkshuisvesting en verkeer werd.In 1974 behoorde hij tot de minderheid in zijn fractie die voor het 'politiestopwetje' stemde; dit was een wetsvoorstel over opschorting van de overgang van rechtswege van gemeenten van rijks- naar gemeentepolitie. De motie werd verworpen.Na in 1982 de Tweede Kamer verlaten te hebben, werd hij in 1984 lid van het Europees Parlement. Daar hield hij zich vooral bezig met begrotingszaken. Ook was hij een gekend deskundige op het gebied van de binnenvaart en de Rijnvaart. Hij bleef lid van het Europees Parlement tot 1999.Op 27 april 1990 werd hij benoemd tot Commandeur in de Orde van Oranje-Nassau."
Piet de Jong,Petrus Jozef Sietze de Jong,Katholieke Volkspartij,Minister-president van Nederland;Eerste Kamer der Staten-Generaal;Fractievoorzitter;Minister van Defensie;Lid Tweede Kamer;Lid Eerste Kamer;Staatssecretaris van Defensie,http://nl.dbpedia.org/resource/Piet_de_Jong_(politicus),"Petrus Jozef Sietze (Piet) de Jong (Apeldoorn, 3 april 1915) is een Nederlands oud-politicus. Van 5 april 1967 tot 6 juli 1971 was hij minister-president van Nederland. Eerder was hij ook staatssecretaris van Defensie (27 juni 1959 - 24 juli 1963) en minister van Defensie (24 juli 1963 - 5 april 1967) namens de Katholieke Volkspartij (KVP). Vooraf aan zijn politieke carrière vocht hij als onderzeebootcommandant in de Tweede Wereldoorlog."
René van der Linden,Pierre René Hubert Marie van der Linden,Katholieke Volkspartij,Lid Tweede Kamer;Lid Eerste Kamer;Voorzitter Eerste Kamer;Staatssecretaris Buitenlandse Zaken,http://nl.dbpedia.org/resource/René_van_der_Linden,"Pierre René Hubert Marie (René) van der Linden (Eys, 14 december 1943) is een Nederlands politicus. Hij werd in 1999 lid van de Eerste Kamer. Van der Linden was voorheen staatssecretaris en lid van de Tweede Kamer. Van 6 oktober 2009 tot 28 juni 2011 was hij voorzitter van de Eerste Kamer. Van der Linden is verbonden aan het Christen-Democratisch Appèl (CDA)."
Ria Oomen,Maria Gertruda Hermina Cecilia Oomen-Ruijten,Katholieke Volkspartij,Lid Tweede Kamer;Lid Europees Parlement,http://nl.dbpedia.org/resource/Ria_Oomen,"Maria Gertruda Hermina Cecilia (Ria) Oomen-Ruijten (Echt, 6 september 1950) is een Nederlands politica namens het Christen-Democratisch Appèl (CDA)."
Roelof Nelissen,Roelof Johannes Nelissen,Katholieke Volkspartij,"",http://nl.dbpedia.org/resource/Roelof_Nelissen,"Roelof Johannes Nelissen (Hoofdplaat, 4 april 1931) is een KVP'er uit Zeeuws-Vlaanderen, die al jong leidinggaf aan de organisatie van katholieke middenstanders. Hij was de zoon van een polderopzichter die na de oorlog waarnemend burgemeester was. In 1963 werd hij lid van de Tweede Kamer en kreeg al snel een belangrijke positie in de KVP-fractie. Begin 1970 werd Nelissen tussentijds minister van economische zaken in het kabinet-De Jong als opvolger van De Block, met een korte tussenkomst van Johan Witteveen. In de kabinetten Biesheuvel I en Biesheuvel II was Nelissen minister van Financiën en viceminister-president. Hij speelde een belangrijke rol bij het ontstaan van de kabinetscrisis in 1972 door vast te houden aan zijn bezuinigingsdoelen. Na zijn politieke loopbaan werd hij opgenomen in de top van de AMRO Bank."
Ruud Lubbers,Rudolphus Franciscus Marie Lubbers,Katholieke Volkspartij,Fractievoorzitter;Minister van Staat (Nederland);Minister-president;Lid Tweede Kamer;minister van Economische Zaken;informateur;lijsttrekker CDA,http://nl.dbpedia.org/resource/Ruud_Lubbers,"Rudolphus Franciscus Marie (Ruud) Lubbers (Rotterdam, 7 mei 1939) is een Nederlands christendemocratisch politicus, minister van staat, voormalig ondernemer, ex-diplomaat. Van 1982 tot 1994 was hij minister-president van Nederland. Tegenwoordig zet hij zich in als activist voor het behoud van het milieu, multiculturalisme, voor de terugdringing van kernwapens en voor een positieve benadering van allochtonen en vluchtelingen."
Sjeng Kremers,Johan Kremers,Katholieke Volkspartij,Commissaris van de Koningin;van Limburg,http://nl.dbpedia.org/resource/Sjeng_Kremers,"Dr. Johan (Sjeng) Kremers (Nieuwenhagen, 10 mei 1933) is een Nederlands psycholoog en oud-politicus van de KVP en later van het CDA. Hij is voormalig Commissaris van de Koningin (gouverneur) van de provincie Limburg.Deze Limburgse mijnwerkerszoon was voordien hoogleraar in de psychologie aan de Katholieke Universiteit Nijmegen. Hij is tevens voorzitter geweest van de Wetenschappelijke Raad voor het Regeringsbeleid en medeformateur van het kabinet (Van Agt II). Na deze politieke loopbaan werd hij nog medebestuurder van Robeco, een groot Rotterdams beleggingsfonds. Tevens was hij betrokken bij de oprichting van het Republikeins Genootschap in september 1996.Openbaarvervoerbedrijf Veolia vernoemde in november 2007 een van zijn Velios-treinen naar Kremers."
Steef Weijers,Stephanus Cornelis Weijers,Katholieke Volkspartij,Tweede Kamerlid,http://nl.dbpedia.org/resource/Steef_Weijers,"Stephanus Cornelis Weijers (Hillegom, 13 november 1929) is een voormalig lid van de Tweede Kamer voor het CDA.Weijers woont een groot deel van zijn leven in Twente. Hij was Tweede Kamerlid van 22 september 1970 tot 7 december 1972 en weer van 2 september 1975 tot 14 september 1989. Eenmaal (in 1982) werd hij gevraagd om staatssecretaris van Sociale Zaken en Werkgelegenheid te worden, maar dit weigerde hij.Als Kamerlid was Steef Weijers vooral betrokken met volksgezondheid, sociale zaken en ambtenarenzaken. Ook zette hij zich in voor de regio Twente en voor woonwagenbewoners.In 1981 stelde Steef Weijers Kamervragen over de som geld die de VARA betaalde voor de overname van Willem Ruis (300.000 gulden).Na het Kamerlidmaatschap werd Weijers voorzitter van de Vereniging van Nederlandse Zorgverzekeraars (voorheen: Vereniging van Nederlandse Ziekenfondsen) tussen 1989 tot 1994. De VNZ fuseerde per 1 januari 2005 met de landelijke organisatie van particuliere ziektekostenverzekeraars KLOZ tot de vereniging Zorgverzekeraars Nederland."
Theo Hendriks,Theodorus Josephus Maria Hendriks,Katholieke Volkspartij,Lid Tweede Kamer;Lid Provinciale Staten Noord-Brabant,http://nl.dbpedia.org/resource/Theo_Hendriks_(Tweede_Kamerlid),"Theodorus Josephus Maria (Theo) Hendriks (Zutphen, 18 juli 1928 – Goirle, 1 juli 2015) was een Nederlandse stedenbouwkundige en politicus.Hendriks was van 1994 tot 1998 een opvallend Tweede Kamerlid. Hij werd gekozen voor het AOV, maar kwam vanwege zijn solistische optreden al direct in conflict met fractieleider Jet Nijpels. Hij werd vijf maanden na zijn verkiezing uit de AOV-fractie gezet. Als eenling in de Groep Hendriks viel hij op door zijn nogal onconventionele en controversiële optreden. Hij hield zich vaak niet aan de parlementaire gewoonten en was daardoor soms lastig voor de Tweede Kamervoorzitter.Hij overleed op 86-jarige leeftijd in zijn woonplaats Goirle."
Theo van Eupen,Theodorus Bernardus Michael van Eupen,Katholieke Volkspartij,http://nl.dbpedia.org/resource/Wethouder_van_Eindhoven;lid Tweede Kamer der Staten-Generaal;lid gemeenteraad van Eindhoven,http://nl.dbpedia.org/resource/Theo_van_Eupen,"Theodorus Bernardus Michael (Theo) van Eupen (Boekel, 20 oktober 1909 - Bergeikse Barrière, 11 maart 1965) was een onderwijzer, bestuuder, wethouder van Eindhoven en lid van de Tweede Kamer der Staten-Generaal.Theo van Eupen was een zoon van onderwijzer Marinus Theodorus van Eupen en Johanna Adriana van Lieshout, beiden afkomstig uit Gemert. Hij volgde de opleiding tot onderwijzer aan de Bisschoppelijke Kweekschool in 's-Hertogenbosch en werd onderwijzer te Boxtel en Eindhoven, en schopte het tot directeur van de Nijverheidsschool in Best. Hij maakte de overstap naar het bedrijfsleven, en werd hoofd algemene zaken bij de Bata schoenenfabriek in Best, en later 'training manager' bij het hoofdkantoor van Bata in Londen. Vanaf 1949 was Van Eupen lid van de Eindhovense gemeenteraad, en vanaf 1953 tevens wethouder van onderwijs en culturele zaken. Hij had diverse daaraan gerelateerde nevenfuncties, zoals het bestuurslidmaatschap van het Brabants Orkest, het voorzitterschap van de Kunstkring te Eindhoven en het lidmaatschap van de Raad voor de Kunst. Als Wethouder bewerkstelligde hij onder meer de komst van de Stadsschouwburg in Eindhoven. In 1963 werd Van Eupen ook gekozen in de Tweede Kamer, waar hij zich vooral bezighield met onderwijs en volkshuisvesting. Hij voerde in 1964 het woord bij de behandeling van de begroting Onderwijs, Kunsten en Wetenschappen. Hij behoorde in 1964 tot de minderheid van zijn fractie die vóór het (onaanvaardbaar verklaarde) amendement-Scheps stemde, waardoor de Bijlmermeer bij de gemeente Amsterdam zou worden gevoegd. Van Eupen en zijn collega-wethouder Van 't Hoff verongelukten toen zijn auto op de terugweg uit België bij Valkenswaard op een stilstaande vrachtwagen met heipalen inreed. Kamervoorzitter Van Thiel memoreerde tijdens de herdenking zijn innemende persoonlijkheid en zijn goede naam als wethouder.Van Eupen trouwde in 1932 met Anna Maria Henriëtte van Griensven, met wie hij 3 zoons had. In 1964 werd hij benoemd tot Officier in de Orde van Oranje-Nassau."
Til Gardeniers-Berendsen,Mathilde Hubertine Maria Francisca  Gardeniers-Berendsen,Katholieke Volkspartij,"Lid Tweede Kamer der Staten-Generaal;Lid Raad van State;Minister van Cultuur, Recreatie en Maatschappelijk Werk;Minister van Volksgezondheid en Milieuhygiëne;Minister van Cultuur, Recreatie en Maatschappelijk Werk, a.i.",http://nl.dbpedia.org/resource/Til_Gardeniers-Berendsen,"Mathilde Hubertine Maria Francisca (Til) Gardeniers-Berendsen (Rotterdam, 18 februari 1925) is een Nederlandse politicus en oud-minister. Til Gardeniers kwam in 1971 in de Tweede Kamer voor de Katholieke Volkspartij (KVP). In 1977 werd zij minister voor Cultuur, Recreatie en Maatschappelijk Werk (CRM) in het Kabinet-Van Agt I. In 1981 werd zij minister van Volksgezondheid en Milieuhygiëne in het tweede en derde kabinet-Van Agt. In haar ministerschappen heeft ze zich vooral beziggehouden met het omroepbeleid en de totstandkoming van de RIAGGs en de Wet voorzieningen gehandicapten (WVG). In 1994 was zij voorzitter van de ""commissie-Gardeniers"", die de dramatische nederlaag van het CDA onder het lijsttrekkerschap van Elco Brinkman moest onderzoeken."
Ton de Kok,Antonius Cornelis Hendricus Maria de Kok,Katholieke Volkspartij,Lid Tweede Kamer;Lid Tweede Kamer,http://nl.dbpedia.org/resource/Ton_de_Kok,"Antonius Cornelis Hendricus Maria (Ton) de Kok (Bussum, 7 februari 1942) is een Nederlands voormalig politicus. Tussen 1983 en 1994 zat hij namens het Christen-Democratisch Appèl (CDA) in de Tweede Kamer der Staten-Generaal. Hij was defensiewoordvoerder en was namens de fractie Oost-Europadeskundige."
Vincent van der Burg,Vincent Arthur Maria van der Burg,Katholieke Volkspartij,lid Tweede Kamer der Staten-Generaal,http://nl.dbpedia.org/resource/Vincent_van_der_Burg,"Vincent Arthur Maria van der Burg (Zeist, 17 april 1945) is een voormalig Nederlands wetenschapper, advocaat en politicus namens de KVP en na de fusie namens het CDA. Van der Burg was bijna 19 jaar actief in de Tweede Kamer. Van der Burg ging na het gymnasium-a aan de Jezuïeten-school De Breul in Zeist Nederlands recht studeren aan de Katholieke Universiteit Nijmegen van 1964 tot 1968. Aansluitend promoveerde hij aan diezelfde universiteit in 1971 in de rechtsgeleerdheid en was hij werkzaam als wetenschappelijk medewerker handelsrecht aldaar. Van 1972 tot 1975 was hij actief als advocaat en procureur in Utrecht, en van 1975 tot 1979 als administrateur bij het Ministerie van Economische Zaken. In 1979 komt hij tussentijds in de Kamer, en in 1982 wordt hij na een korte afwezigheid weer voor een half jaar lid. Na een afwezigheid van enkele maanden blijft hij vervolgens lid tot zijn afscheid in 1998. Van der Burg werd gezien als een tamelijk behoudende katholieke Justitie- en politie-woordvoerder van het CDA in de Tweede Kamer en hield zich ook bezig met Binnenlandse Zaken. Hij diende in 1985 samen met Stoffelen (PvdA) een initiatiefwetsvoorstel in over het verlenen van het recht van onderzoek aan een minderheid van de Eerste en Tweede Kamer. Dit voorstel werd in 1987 door de Eerste Kamer verworpen.Van der Burg was lid van de parlementaire enquêtecommissie Parlementaire enquête naar de RSV-werf (1983 tot 1987). Van 1982 tot 1989 was hij ondervoorzitter van de vaste commissie voor de Politie en van 1990 tot 1994 voorzitter van de vaste commissie voor Binnenlandse Zaken. Daarnaast was hij van 1992 tot 1994 ondervoorzitter van de parlementaire enquêtecommissie inzake het functioneren van uitvoeringsorganen in de sociale zekerheid en omstreeks 1993 zat hij de subcommissie voor die zich bezighield met de herziening van het Burgerlijk Wetboek. Van 1994 tot 1998 was hij voorzitter van de Tweede Kamercommissie voor de Geloofsbrieven en van de vaste commissie voor Justitie. Van der Burg vervulde diverse bestuurlijke functies, waaronder bij zijn voormalige middelbare school en de Raad van Commissarissen bij Delta Lloyd Groep en Nestlé Nederland. Vanaf 2012 is Van der Burg voorzitter van Stichting Genetische Genealogie in Nederland en lid van de Raad van Advies van het Internationaal Museum voor Familiegeschiedenis. In 1993 werd Van der Burg benoemd tot ridder in de Orde van de Nederlandse Leeuw."
Wim van Velzen,Wilhelmus Gijsbertus van Velzen,Katholieke Volkspartij,Lid Europees Parlement;Lid Eerste Kamer;Partijvoorzitter CDA,http://nl.dbpedia.org/resource/Wim_van_Velzen_(1943),"Wilhelmus Wim Gijsbertus van Velzen (Rotterdam, 15 januari 1943) is een Nederlands voormalig politicus namens het CDA.Van Velzen studeerde onderwijskunde aan de Katholieke Universiteit Nijmegen en begon zijn maatschappelijke loopbaan in die stad als leraar Nederlands en maatschappijleer. Vervolgens maakte hij carrière bij het Katholiek Pedagogisch Centrum (KPC) in Den Bosch. Van Velzen was ongeveer een jaar (1986-1987) plaatsvervangend directeur-generaal voortgezet onderwijs op het ministerie van Onderwijs en Wetenschappen. In januari 1987 werd hij partijvoorzitter van het CDA. Hij trad in maart 1994 af na kritiek op de presentatie van de plannen tot bevriezing van de AOW zoals die waren opgenomen in het CDA-verkiezingsprogramma. In juni van dat jaar kwam hij in de Eerste Kamer. In juli 1994 werd Van Velzen Europarlementariër. De Eerste Kamer verliet hij pas medio 1995. In Brussel was hij in twee periodes vicevoorzitter van de Europese Volkspartij (EVP) en tussendoor voorzitter van de Europese Unie van Christen-Democraten (EUCD). Vanaf juli 1999 was Van Velzen vicefractievoorzitter van de Europese Volkspartij (Christendemocraten) en Europese Democraten. Na de Europese Parlementsverkiezingen 2004 begon hij een eigen consultancybedrijf."
Wim van de Camp,Wilhelmus Gerardus Johannes Maria van de Camp,Katholieke Volkspartij,Lid Tweede Kamer;Lid Europees Parlement;Lid partijbestuur;Lid Tweede Kamer;Lid Europees Parlement;Lid partijbestuur,http://nl.dbpedia.org/resource/Wim_van_de_Camp,"Wilhelmus Gerardus Johannes Maria (Wim) van de Camp (Oss, 27 juli 1953) is een Nederlands politicus. In 2009 werd hij gekozen als lid van het Europees Parlement, waar hij namens het CDA deel uitmaakt van de fractie van de Europese Volkspartij (EVP). Voorheen was Wim van de Camp lid van de Tweede Kamer (3 juni 1986 - 14 juli 2009) waar hij onder meer optrad als woordvoerder onderwijs, justitie en asielbeleid van de commissies voor Onderwijs, Cultuur en Wetenschap en justitie."
Anne Vermeer,Anne Vermeer,Sociaal-Democratische Arbeiderspartij,Lid Tweede Kamer;Lid Provinciale Staten Gelderland;Lid  Eerste Kamer,http://nl.dbpedia.org/resource/Anne_Vermeer,"Anne Rinse Vermeer (Tiel, 12 december 1916) is een Nederlands voormalig politicus. Namens de Partij van de Arbeid was hij onder meer lid van de Tweede Kamer der Staten-Generaal en Eerste Kamer der Staten-Generaal."
André Rouvoet,André Rouvoet,ChristenUnie,Fractievoorzitter;Politiek leider;Vicepremier;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin;Fractievoorzitter;Politiek leider;Vicepremier;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin;Lid Tweede Kamer;Minister van OCW;Minister voor Jeugd en Gezin,http://nl.dbpedia.org/resource/André_Rouvoet,"André Rouvoet (Hilversum, 4 januari 1962) is een Nederlands bestuurder en voormalig politicus. In het kabinet-Balkenende IV was hij minister voor Jeugd en Gezin en vicepremier. Op 23 februari 2010, na de val van dit kabinet, werd hij als demissionair minister tevens benoemd tot minister van Onderwijs, Cultuur en Wetenschap, tot 14 oktober 2010. Eerder was hij namens de ChristenUnie en de RPF lid van de Tweede Kamer. Op 29 april 2011 kondigde hij zijn vertrek uit de politiek aan en op 14 mei nam zijn partij afscheid van Rouvoet. Sinds 1 februari 2012 is hij voorzitter van Zorgverzekeraars Nederland."
Arie Slob,Arie Slob,ChristenUnie,Tweede Kamerlid;Lid Tweede Kamer;Fractievoorzitter TK;Lid gemeenteraad Zwolle;Fractievoorzitter in de Tweede Kamer;Tweede Kamerlid;Lid Tweede Kamer;Fractievoorzitter TK;Lid gemeenteraad Zwolle;Fractievoorzitter in de Tweede Kamer;Tweede Kamerlid;Lid Tweede Kamer;Fractievoorzitter TK;Lid gemeenteraad Zwolle;Fractievoorzitter in de Tweede Kamer,http://nl.dbpedia.org/resource/Arie_Slob,"Arie Slob (Nieuwerkerk aan den IJssel, 16 november 1961) is een Nederlandse politicus. Hij is vooral bekend als Tweede Kamerlid namens de ChristenUnie. Hij was in februari 2007 de opvolger van André Rouvoet als fractievoorzitter van die partij, nadat deze bewindspersoon werd in het kabinet-Balkenende IV. Ook na het vertrek van Rouvoet uit de politiek in mei 2011, werd Slob weer fractievoorzitter."
Bert Groen,Lubertus Cornelis Groen,ChristenUnie,Burgemeester;Groningen (provincie);Oldehove (Groningen);Provinciale Staten (Nederland);Burgemeester Bunschoten;Eerste Kamerlid ChristenUnie,http://nl.dbpedia.org/resource/Bert_Groen,"Lubertus Cornelis (Bert) Groen (Haarlem, 28 maart 1945) is een Nederlands voormalig ambtenaar en oud-politicus voor het Gereformeerd Politiek Verbond (GPV) en de ChristenUnie."
Carla Dik-Faber,Roelofje Klazina Dik-Faber,ChristenUnie,Lid Tweede Kamer;Lid Provinciale Staten Utrecht;Lid gemeenteraad Veenendaal;Lid Tweede Kamer;Lid Provinciale Staten Utrecht;Lid gemeenteraad Veenendaal,http://nl.dbpedia.org/resource/Carla_Dik-Faber,"Roelofje Klazina (Carla) Dik-Faber (Voorburg, 6 mei 1971) is een Nederlands politicus namens de ChristenUnie en sinds 20 september 2012 Tweede Kamerlid voor deze partij. Ze zetelt ook namens de christelijke fractie in het Beneluxparlement.Dik-Faber studeerde kunstgeschiedenis aan de Universiteit Utrecht. Na haar studie werkte zij onder andere als beleidsmedewerker bij de Maatschappelijke Ondernemers Groep en later als freelance kunsthistorica. Ze zat in de gemeenteraad van Veenendaal en in de Provinciale Staten van Utrecht voor ze in de Tweede Kamer kwam.Op 16 oktober 2013 liet Dik-Faber weten dat er een Good Samaritan law moet komen zodat supermarkten niet aansprakelijk kunnen worden gesteld als ze voedsel weggeven aan de voedselbank en doelstelling om in 2015 de voedselverspilling met 20 procent terug te dringen te kunnen halen.Dik-Faber werd in 2015 door Vrij Nederland uitgeroepen tot meest efficiente Kamerlid."
Carola Schouten,Carola Schouten,ChristenUnie,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Carola_Schouten,"Carola J. Schouten ('s-Hertogenbosch, 6 oktober 1977) is een Nederlands politica van de ChristenUnie. Sinds 18 mei 2011 is ze lid van de Tweede Kamer der Staten-Generaal. Datzelfde jaar nog werd ze door de parlementaire pers verkozen tot 'Politiek talent van het jaar 2011'."
Cees van Bruchem,Cornelis van Bruchem,ChristenUnie,Gemeenteraad;Fractievoorzitter;Kerkwijk;Eerste Kamer;Federatiebestuur RPF;Gemeenteraad Zaltbommel;Wethouder Zaltbommel,http://nl.dbpedia.org/resource/Cees_van_Bruchem,"Cornelis (Cees) van Bruchem (Bruchem, 25 februari 1950) is een Nederlands landbouwkundig ingenieur en voormalig politicus voor de Reformatorische Politieke Federatie (RPF) en later voor diens opvolger de ChristenUnie (CU).Van Bruchem studeerde algemene agrarische economie aan de Landbouwhogeschool Wageningen. Hij werd daarna beleidsmedewerker bij het Landbouwschap in Den Haag en vervolgens in 1978 wetenschappelijk medewerker bij het Landbouw Economisch Instituut in diezelfde plaats. Zo nu en dan haalt hij hiermee de pers, zoals in augustus 2007 toen hij in verband met de wereldwijde stijging van de voedselprijzen ervoor waarschuwde de melkquota niet af te schaffen.In april 1994 kwam hij in de gemeenteraad van Kerkwijk terecht. Dit duurde tot januari 1999 toen hij na de gemeentelijke herindeling van de Bommelerwaard gemeenteraadslid alsook wethouder (met in zijn portefeuille sociale zaken en volksgezondheid) van Zaltbommel werd, hetgeen hij tot juni 1999 was. In diezelfde maand werd hij in de Eerste Kamer verkozen. Hierin richtte hij zich op zaken die raakvlakken vertonen met zijn opleiding en beroep, zoals landbouw, milieu- en natuurbeheer, ruimtelijke ordening, volkshuisvesting en visserij. Na de verkiezingen vier jaar later, verliet hij in juni 2003 de Senaat.Behalve namens heeft Van Bruchem ook binnen de RPF allerlei functies vervuld, zoals het lidmaatschap van het federatiebestuur, het voorzitterschap van de verkiezingsprogrammacommissie, het curatorschap van het wetenschappelijk instituut de Marnix van St. Aldegonde Stichting en het lidmaatschap van een studiegroep van het wetenschappelijk instituut die zich boog over genetische manipulatie. Nog steeds - sinds eind 1997 - is hij lid van het college van advies van de gecombineerde fractie van de SGP en de ChristenUnie binnen het Europees Parlement.Daarnaast heeft hij ook in allerlei besturen van maatschappelijke en levensbeschouwelijke aard gezeten, zoals dat van het Zorgcentrum 't Slot in Gameren, waarvan hij sinds 1996 het voorzitterschap bekleed.Van Bruchem zegde zijn lidmaatschap van de ChristenUnie in 2008 op omdat hij zich niet kon vinden in het toelaten van rooms-katholieken tot de partij. Ook wilde hij dat de partij explicieter stelling nam tegen het toelaten van (praktiserende) homoseksuelen tot de partij."
Cynthia Ortega-Martijn,Cynthia Apolonia Ortega-Martijn,ChristenUnie,Lid Tweede Kamer,http://nl.dbpedia.org/resource/Cynthia_Ortega-Martijn,"Cynthia Apolonia Ortega-Martijn (Willemstad (Curaçao), 9 februari 1956) is een Nederlandse ex-ambtenaar, zelfstandig adviseur en politica voor de ChristenUnie."
